Company name:,Ripple Labs Singapore,,,,,,,,,,,,,,,,
Report name:,Invoice Detail Report with XRP,,,,,,,,,,,,,,,,
Created on:,6/15/2023,,,,,,,,,,,,,,,,
Location:,310_RSG--Ripple Labs Singapore,,,,,,,,,,,,,,,,
Date,Customer name,Customer_ID,Invoice number,Line number,Item_ID,Item description,Memo,Quantity,Transaction currency,Transaction price,Extended price-txn curr,Total transaction amount,Base currency,Price,Extended price-base curr,Total amount,Location_ID
6/5/2023,Tranglo Pte. Ltd.,CUS000292,INV005999,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"16,762,504.67",SGD,0.00,"11,733.75","16,774,238.42",SGD,0.00,"11,733.75","16,774,238.42",310_RSG
6/5/2023,Tranglo Pte. Ltd.,CUS000292,INV005998,1,Wallet Send Transactions,Wallet Send Transactions-XRP,SGD amount of XRP,"509,994.48",SGD,0.69,"350,000.00","350,525.00",SGD,0.69,"350,000.00","350,525.00",310_RSG
6/5/2023,Tranglo Pte. Ltd.,CUS000292,INV005998,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"350,000.00",SGD,0.00,525.00,"350,525.00",SGD,0.00,525.00,"350,525.00",310_RSG
6/5/2023,ISend Pte. Ltd.,CUS000362,INV005987,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"3,849,313.52",USD,0.50,"1,920,019.97","1,921,939.99",SGD,0.67,"2,592,218.96","2,594,811.18",310_RSG
6/5/2023,ISend Pte. Ltd.,CUS000362,INV005987,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"1,920,019.97",USD,0.00,"1,920.02","1,921,939.99",SGD,0.00,"2,592.22","2,594,811.18",310_RSG
6/5/2023,Globsol Singapore Pte Ltd,CUS000547,INV005985,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"6,148,047.93",USD,0.49,"3,003,004.90","3,018,019.92",SGD,0.66,"4,054,356.92","4,074,628.70",310_RSG
6/5/2023,Globsol Singapore Pte Ltd,CUS000547,INV005985,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"3,003,004.90",USD,0.01,"15,015.02","3,018,019.92",SGD,0.01,"20,271.78","4,074,628.70",310_RSG
6/5/2023,City Foreign Exchange Limited,CUS000533,INV005981,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"503,111.50",USD,0.50,"251,606.06","252,109.27",SGD,0.68,"339,693.34","340,372.72",310_RSG
6/5/2023,City Foreign Exchange Limited,CUS000533,INV005981,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"251,606.06",USD,0.00,503.21,"252,109.27",SGD,0.00,679.38,"340,372.72",310_RSG
6/5/2023,BC Remittance Limited,CUS000323,INV005978,1,Wallet Send Transactions,Wallet Send Transactions-XRP,GBP amount of XRP,"4,099,799.33",GBP,0.40,"1,660,000.00","1,664,980.00",SGD,0.68,"2,791,456.00","2,799,830.37",310_RSG
6/5/2023,BC Remittance Limited,CUS000323,INV005978,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"1,660,000.00",GBP,0.00,"4,980.00","1,664,980.00",SGD,0.01,"8,374.37","2,799,830.37",310_RSG
6/5/2023,Arcadi SpA,CUS000315,INV005977,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"101,570.14",USD,0.49,"50,000.00","50,250.00",SGD,0.66,"67,505.00","67,842.53",310_RSG
6/5/2023,Arcadi SpA,CUS000315,INV005977,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"50,000.00",USD,0.01,250.00,"50,250.00",SGD,0.01,337.53,"67,842.53",310_RSG
6/5/2023,J&R Asociados SpA,CUS000376,INV005980,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"300,000.00",USD,0.00,"1,200.00","301,200.00",SGD,0.01,"1,620.12","406,650.12",310_RSG
6/5/2023,J&R Asociados SpA,CUS000376,INV005980,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"621,813.21",USD,0.48,"300,000.00","301,200.00",SGD,0.65,"405,030.00","406,650.12",310_RSG
6/5/2023,Andean Wide Transfer SPA,CUS000476,INV005966,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"7,891,000.23",USD,0.50,"3,950,000.00","3,953,950.00",SGD,0.68,"5,332,895.00","5,338,227.90",310_RSG
6/5/2023,Andean Wide Transfer SPA,CUS000476,INV005966,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"3,950,000.00",USD,0.00,"3,950.00","3,953,950.00",SGD,0.00,"5,332.90","5,338,227.90",310_RSG
6/5/2023,Lenderwize Limited,CUS000541,INV005967,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"2,073,433.68",USD,0.48,"1,000,100.00","1,001,100.10",SGD,0.65,"1,350,235.01","1,351,585.25",310_RSG
6/5/2023,Lenderwize Limited,CUS000541,INV005967,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"1,000,100.00",USD,0.00,"1,000.10","1,001,100.10",SGD,0.00,"1,350.24","1,351,585.25",310_RSG
6/5/2023,ISend Pte. Ltd.,CUS000362,INV005986,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"1,042,687.64",USD,0.48,"500,000.00","500,500.00",SGD,0.65,"675,050.00","675,725.05",310_RSG
6/5/2023,ISend Pte. Ltd.,CUS000362,INV005986,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"500,000.00",USD,0.00,500.00,"500,500.00",SGD,0.00,675.05,"675,725.05",310_RSG
6/5/2023,Vita Solutions S.P.A,CUS000417,INV006001,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"674,889.13",USD,0.50,"340,000.00","341,700.00",SGD,0.68,"459,034.00","461,329.17",310_RSG
6/5/2023,Vita Solutions S.P.A,CUS000417,INV006001,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"340,000.00",USD,0.01,"1,700.00","341,700.00",SGD,0.01,"2,295.17","461,329.17",310_RSG
6/5/2023,Remittance Finance Corporation Limited,CUS000456,INV005970,2,ODL Commission Fees,ODL Commission Fees,ODL Commission Fees,"35,103,635.00",USD,0.00,"70,207.27","35,173,842.27",SGD,0.00,"94,786.84","47,488,204.45",310_RSG
6/5/2023,Remittance Finance Corporation Limited,CUS000456,INV005970,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"69,886,989.33",USD,0.50,"35,103,635.00","35,173,842.27",SGD,0.68,"47,393,417.61","47,488,204.45",310_RSG
6/5/2023,Star Dreams General Trading LLC,CUS000537,INV005971,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"1,021,089.26",USD,0.50,"514,690.25","523,466.08",SGD,0.68,"694,883.31","706,731.56",310_RSG
6/5/2023,Star Dreams General Trading LLC,CUS000537,INV005971,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"514,690.25",USD,0.00,772.04,"523,466.08",SGD,0.00,"1,042.33","706,731.56",310_RSG
6/5/2023,Star Dreams General Trading LLC,CUS000537,INV005971,3,Line of Credit,Line of Credit,Line of Credit Fee (9.46% of weekly USD amount of XRP withdrawals x 60 /365 days),1.00,USD,"8,003.79","8,003.79","523,466.08",SGD,"10,805.92","10,805.92","706,731.56",310_RSG
6/5/2023,Sterling Frontier Alliance Pte. Ltd,CUS000551,INV005972,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"485,273.37",USD,0.51,"249,479.04","253,699.68",SGD,0.69,"336,821.65","342,519.93",310_RSG
6/5/2023,Sterling Frontier Alliance Pte. Ltd,CUS000551,INV005972,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"249,479.04",USD,0.01,"1,247.40","253,699.68",SGD,0.01,"1,684.11","342,519.93",310_RSG
6/5/2023,Sterling Frontier Alliance Pte. Ltd,CUS000551,INV005972,3,Line of Credit,Line of Credit,Line of Credit Fee (14.5% of weekly USD amount of XRP withdrawals x 30 /365 days),1.00,USD,"2,973.24","2,973.24","253,699.68",SGD,"4,014.17","4,014.17","342,519.93",310_RSG
6/5/2023,Everest Network Ltd,CUS000504,INV005983,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,86.76,USD,0.00,0.09,86.85,SGD,0.00,0.12,117.25,310_RSG
6/5/2023,Everest Network Ltd,CUS000504,INV005983,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,173.38,USD,0.50,86.76,86.85,SGD,0.68,117.13,117.25,310_RSG
6/5/2023,Clear Aligners Pte. Ltd.,CUS000549,INV005982,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"3,509,374.60",USD,0.49,"1,732,244.58","1,740,905.80",SGD,0.67,"2,338,703.41","2,350,396.92",310_RSG
6/5/2023,Clear Aligners Pte. Ltd.,CUS000549,INV005982,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"1,732,244.58",USD,0.01,"8,661.22","1,740,905.80",SGD,0.01,"11,693.51","2,350,396.92",310_RSG
6/5/2023,Andean Wide Transfer SPA,CUS000476,INV005965,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"399,544.32",USD,0.50,"200,000.00","202,866.67",SGD,0.68,"270,020.00","273,890.29",310_RSG
6/5/2023,Andean Wide Transfer SPA,CUS000476,INV005965,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"200,000.00",USD,0.00,200.00,"202,866.67",SGD,0.00,270.02,"273,890.29",310_RSG
6/5/2023,Andean Wide Transfer SPA,CUS000476,INV005965,3,Line of Credit,Line of Credit,Line of Credit Fee (16% of weekly USD amount of XRP withdrawals x 30 /360 days),1.00,USD,"2,666.67","2,666.67","202,866.67",SGD,"3,600.27","3,600.27","273,890.29",310_RSG
6/5/2023,New Horizon Global Trading Pte Ltd,CUS000540,INV005968,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"865,505.03",USD,0.50,"433,755.54","443,535.84",SGD,0.68,"585,613.35","598,817.74",310_RSG
6/5/2023,New Horizon Global Trading Pte Ltd,CUS000540,INV005968,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"433,755.54",USD,0.00,867.51,"443,535.84",SGD,0.00,"1,171.23","598,817.74",310_RSG
6/5/2023,New Horizon Global Trading Pte Ltd,CUS000540,INV005968,3,Line of Credit,Line of Credit,Line of Credit Fee (12.5% of weekly USD amount of XRP withdrawals x 60 /365 days),1.00,USD,"8,912.79","8,912.79","443,535.84",SGD,"12,033.16","12,033.16","598,817.74",310_RSG
6/5/2023,Nium Pte. Ltd.,CUS000130,INV005969,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"117,391,347.30",USD,0.50,"58,837,474.26","58,855,125.50",SGD,0.68,"79,436,474.00","79,460,304.94",310_RSG
6/5/2023,Nium Pte. Ltd.,CUS000130,INV005969,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"58,837,474.26",USD,0.00,"17,651.24","58,855,125.50",SGD,0.00,"23,830.94","79,460,304.94",310_RSG
6/5/2023,EzyRemit Worldwide Pty Ltd,CUS000525,INV005984,1,Wallet Send Transactions,Wallet Send Transactions-XRP,AUD amount of XRP,"762,282.60",AUD,0.72,"549,849.19","550,243.92",SGD,0.64,"490,410.49","490,762.55",310_RSG
6/5/2023,EzyRemit Worldwide Pty Ltd,CUS000525,INV005984,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"394,733.09",AUD,0.00,394.73,"550,243.92",SGD,0.00,352.06,"490,762.55",310_RSG
6/5/2023,BKK Forex Pte Ltd,CUS000381,INV005979,1,Wallet Send Transactions,Wallet Send Transactions-XRP,SGD amount of XRP,"4,364,389.77",SGD,0.68,"2,956,638.72","2,959,595.36",SGD,0.68,"2,956,638.72","2,959,595.36",310_RSG
6/5/2023,BKK Forex Pte Ltd,CUS000381,INV005979,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"2,956,638.72",SGD,0.00,"2,956.64","2,959,595.36",SGD,0.00,"2,956.64","2,959,595.36",310_RSG
6/5/2023,"PMI Americas, S.A. de C.V.",CUS000430,INV005993,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"265,960.50",USD,0.50,"133,684.48","133,684.48",SGD,0.68,"180,487.42","180,487.42",310_RSG
6/5/2023,Lemonway SAS,CUS000536,INV005988,1,Wallet Send Transactions,Wallet Send Transactions-XRP,EUR amount of XRP,"13,408,523.03",EUR,0.47,"6,297,541.00","6,297,541.00",SGD,0.68,"9,104,984.78","9,104,984.78",310_RSG
6/5/2023,Xbaht AB,CUS000396,INV006003,1,Wallet Send Transactions,Wallet Send Transactions-XRP,EUR amount of XRP,"1,033,107.15",EUR,0.47,"482,533.45","483,477.46",SGD,0.68,"697,646.86","699,011.71",310_RSG
6/5/2023,Xbaht AB,CUS000396,INV006003,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"472,007.43",EUR,0.00,944.01,"483,477.46",SGD,0.00,"1,364.85","699,011.71",310_RSG
6/5/2023,Sentbe Pte. Ltd.,CUS000443,INV005994,1,Wallet Send Transactions,Wallet Send Transactions-XRP,SGD amount of XRP,"4,961,216.77",SGD,0.68,"3,379,958.75","3,382,493.72",SGD,0.68,"3,379,958.75","3,382,493.72",310_RSG
6/5/2023,Sentbe Pte. Ltd.,CUS000443,INV005994,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"3,379,958.75",SGD,0.00,"2,534.97","3,382,493.72",SGD,0.00,"2,534.97","3,382,493.72",310_RSG
6/5/2023,Lemonway SAS,CUS000536,INV005989,1,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"6,297,541.00",EUR,0.00,"6,297.54","6,297.54",SGD,0.00,"9,104.98","9,104.98",310_RSG
6/5/2023,TransferTo Mobile Financial Services Ltd,CUS000512,INV005997,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"17,929,774.06",USD,0.50,"9,000,000.00","9,004,500.00",SGD,0.68,"12,150,900.00","12,156,975.45",310_RSG
6/5/2023,TransferTo Mobile Financial Services Ltd,CUS000512,INV005997,2,On Demand Liquidity,On Demand Liquidity-XRP,ODL Service Fee,"9,000,000.00",USD,0.00,"4,500.00","9,004,500.00",SGD,0.00,"6,075.45","12,156,975.45",310_RSG
